ID,DAPC,SNPs,INDELs,msh6.SNPs
E336,Cluster4,43331,6488,59
C167,Cluster4,66244,6488,65
E138,Cluster4,51745,6494,64
E204,Cluster5,52972,6495,66
E346,Cluster5,42471,6501,66
C410,Cluster5,65532,6510,66
C158,Cluster5,56498,6513,64
E421,Cluster5,64140,6513,66
E99,Cluster5,61963,6513,67
E513,Cluster5,56444,6519,66
C527,Cluster4,54280,6521,67
E329,Cluster5,42756,6521,67
E362,Cluster5,55602,6528,65
E608,Cluster1,29340,6530,0
C398,Cluster5,59502,6530,66
E356,Cluster5,53168,6531,66
E620,Cluster4,68416,6532,66
C612,Cluster4,13243,6535,65
U4,Cluster4,42270,6541,65
C583,Cluster5,53309,6550,67
E220,Cluster5,54597,6550,65
E622,Cluster5,61232,6553,65
C558,Cluster5,53764,6554,66
C284,Cluster4,50493,6560,67
E303,Cluster5,45875,6564,66
C58,Cluster5,63835,6569,66
C479,Cluster5,54495,6573,65
C568,Cluster5,53917,6573,61
C478,Cluster5,54071,6574,66
E265,Cluster5,52864,6575,66
E192,Cluster5,54778,6578,66
E514,Cluster3,44804,6579,64
C286,Cluster4,30194,6580,68
C606,Cluster5,51852,6580,66
C264,Cluster5,56555,6583,66
C437,Cluster5,8261,6587,66
C39,Cluster5,63761,6589,66
C407,Cluster5,67013,6592,66
E300,Cluster5,52445,6593,66
C294,Cluster5,52669,6594,66
C177,Cluster5,66766,6595,66
C56,Cluster5,50248,6610,59
E210,Cluster3,31207,6613,63
E579,Cluster5,67573,6623,66
C428,Cluster5,57212,6623,66
C605,Cluster5,51858,6625,66
C173,Cluster4,62806,6625,65
C59,Cluster5,63565,6626,66
C473,Cluster5,52621,6626,65
C299,Cluster5,55759,6630,67
C460,Cluster4,52987,6634,66
E277,Cluster4,53448,6639,66
E308,Cluster5,55746,6651,66
E193,Cluster5,52277,6655,66
C514,Cluster5,54655,6672,67
C301,Cluster5,47818,6692,65
C408,Cluster5,65799,6704,65
C469,Cluster4,50725,6705,66
C36,Cluster5,50573,6708,62
C391,Cluster3,54651,6709,60
C212,Cluster4,56117,6722,63
E267,Cluster4,52101,6734,66
C213,Cluster4,56021,6735,63
C520,Cluster5,54738,6736,66
E195,Cluster5,53997,6736,66
E70,Cluster4,62294,6736,64
E143,Cluster5,63785,6746,66
C467,Cluster5,54812,6747,66
E285,Cluster4,54120,6748,65
C546,Cluster5,55564,6752,66
E588,Cluster5,66742,6757,66
E2,Cluster4,69981,6782,65
C302,Cluster5,55688,6784,66
E493,Cluster5,54716,6787,66
C545,Cluster5,52017,6789,67
C481,Cluster4,56311,6794,69
E65,Cluster3,65122,6795,65
C160,Cluster4,46338,6809,59
C198,Cluster4,59480,6810,65
C482,Cluster5,56311,6815,66
C475,Cluster5,55958,6825,66
C480,Cluster5,56032,6835,66
C64,Cluster3,68273,6858,66
C62,Cluster3,68229,6864,66
E261,Cluster4,57691,6870,65
C238,Cluster4,51857,6871,66
E226,Cluster5,55027,6872,62
C61,Cluster3,68527,6876,66
C60,Cluster3,67625,6881,66
C63,Cluster3,68102,6885,65
C409,Cluster5,68284,6891,65
E164,Cluster4,53490,6891,65
E270,Cluster3,52928,6894,65
E332,Cluster3,56896,6913,62
E494,Cluster4,29957,6918,65
E275,Cluster5,53392,6928,66
C65,Cluster3,68637,6935,66
C536,Cluster5,57227,6939,66
E289,Cluster5,39789,6947,59
E211,Cluster5,55724,6949,62
C406,Cluster4,48197,6951,65
C465,Cluster5,56608,6954,66
C431,Cluster5,43256,6973,59
C507,Cluster5,56759,6985,66
E388,Cluster5,60043,7007,65
C367,Cluster3,59958,7019,63
E208,Cluster5,56356,7024,66
C488,Cluster5,46610,7052,66
C580,Cluster5,57613,7063,66
C55,Cluster5,68964,7080,62
C560,Cluster5,58286,7111,62
E225,Cluster5,55594,7113,62
E420,Cluster5,70803,7136,62
C422,Cluster4,61848,7149,65
E462,Cluster3,2402,7156,62
C57,Cluster5,69411,7159,62
C402,Cluster5,67537,7184,62
C258,Cluster5,9363,7187,66
E126,Cluster1,53377,7205,39
E212,Cluster5,58516,7206,66
E135,Cluster1,52954,7209,39
C423,Cluster4,50232,7214,64
C170,Cluster3,67242,7252,66
E130,Cluster1,50989,7272,38
C144,Cluster3,69593,7274,65
C38,Cluster3,66495,7301,62
E287,Cluster3,51186,7304,63
C582,Cluster5,57349,7312,66
E301,Cluster5,57440,7319,66
E369,Cluster3,61771,7323,65
E408,Cluster3,76782,7343,63
C345,Cluster4,37125,7352,59
E82,Cluster3,70141,7360,62
C37,Cluster3,67227,7371,62
E61,Cluster1,32663,7379,0
C404,Cluster5,70753,7390,66
E367,Cluster3,50499,7390,65
E107,Cluster3,71081,7406,62
E444,Cluster3,65077,7415,63
C176,Cluster3,72642,7427,64
E344,Cluster4,61623,7430,65
E352,Cluster3,53169,7431,64
C609,Cluster4,60366,7454,66
E74,Cluster3,72784,7455,64
E343,Cluster4,51867,7506,65
C425,Cluster1,63555,7558,0
E81,Cluster3,74636,7563,63
E532,Cluster3,55298,7572,68
C365,Cluster3,67203,7586,63
C159,Cluster3,71508,7590,62
C539,Cluster3,65002,7606,64
E335,Cluster3,61716,7609,62
E84,Cluster3,72137,7624,62
